Model,Training RMSE,Testing RMSE,Training R²,Testing R²,Training MAE,Testing MAE,Testing MAPE
Random Forest,1.994282091997852,3.6964681313581096,0.9999725836189344,0.9999058203297987,0.25410618873055973,1.5988498886394806,1176711.236156819
XGBoost,5.785954296909241,8.262303786933954,0.9997692259634083,0.9995294719152095,2.9393967791167452,3.933392124248925,747439108.2595202
Gradient Boosting,8.055853604758777,9.552332127431013,0.9995526369818876,0.9993710703623089,3.66458478981491,4.238193695312865,670698800.5175043
LightGBM,10.777683163497464,11.992766984745405,0.9991992669145002,0.9990086613839436,5.103405623403438,5.536115810872526,1112474162.4526982
Extreme Random Trees,8.329767599139926,12.469695919589453,0.9995216974256185,0.9989282463806256,3.622072321677914,4.968987146551958,2650241487.539684
Decision Tree,14.78083547837373,16.110656501181854,0.9984939655201551,0.9982110026026461,5.454221277938871,6.097802132494017,2.558685403029979
K-Nearest Neighbors,31.62218060065957,38.810972265761606,0.9931068047784964,0.9896177309854854,8.082804593868687,10.662009604712535,9304337891.594547
Linear Regression,52.36342588020545,53.05285042648563,0.9810986399938348,0.9806000469919347,20.35208237518495,20.466963383101614,39985800737.12177
Ridge Regression,52.363753274231414,53.053031757084646,0.981098403637577,0.9805999143765867,20.366037440483467,20.479403553100358,40014836693.67563
Lasso Regression,52.5870594334921,53.25324345436223,0.9809368475017781,0.9804532138808413,20.485828228207108,20.589425337277873,37817804192.333015
Elastic NET,77.04778441238257,76.56312859999453,0.959077961632791,0.9595961661934654,38.07686627930141,37.91173696783446,80882701399.18321
